ns,uri
evo:,http://eurovoc.europa.eu/schema#
skos:,http://www.w3.org/2004/02/skos/core#
skoxl:,http://www.w3.org/2008/05/skos-xl#
rdf:,http://www.w3.org/1999/02/22-rdf-syntax-ns#
xsd:,http://www.w3.org/2001/XMLSchema#
rdfs:,http://www.w3.org/2000/01/rdf-schema#
dct:,http://purl.org/dc/terms/
dc:,http://purl.org/dc/elements/1.1/
owl:,http://www.w3.org/2002/07/owl#
euvoc:,http://publications.europa.eu/ontology/euvoc#
vb:,http://art.uniroma2.it/ontologies/vocbench#
lexvo:,http://lexvo.org/ontology#
lemon:,http://lemon-model.net/lemon#
void:,http://rdfs.org/ns/void#
ato:,http://publications.europa.eu/ontology/authority/
atr:,http://publications.europa.eu/resource/authority/
atdt:,http://publications.europa.eu/ontology/datatype#
atmdr:,http://publications.europa.eu/mdr/
geowgs:,http://www.w3.org/2003/01/geo/wgs84_pos#
org:,http://www.w3.org/ns/org#
foaf:,http://xmlns.com/foaf/0.1/
