stype,p,ootype,propType,scnt,ocnt,cnt,min_sp,max_sp,avg_sp
http://publications.europa.eu/ontology/authority/MappedCode,http://publications.europa.eu/ontology/authority/affected-table,http://www.w3.org/2001/XMLSchema#string,data,209,2,209,1,1,1.0
http://publications.europa.eu/ontology/authority/MappedCode,http://publications.europa.eu/ontology/authority/legacy-code,http://www.w3.org/2001/XMLSchema#string,data,655,655,655,1,1,1.0
http://publications.europa.eu/ontology/authority/MappedCode,http://purl.org/dc/elements/1.1/source,http://www.w3.org/2001/XMLSchema#string,data,655,3,655,1,1,1.0
http://publications.europa.eu/ontology/authority/MappedCode,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://publications.europa.eu/ontology/authority/MappedCode,object,655,1,655,1,1,1.0
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,object,364,1,364,1,1,1.0
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,data,364,364,364,1,1,1.0
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2001/XMLSchema#float,data,364,360,388,1,2,1.123711340206185567010309
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://www.w3.org/2003/01/geo/wgs84_pos#long,http://www.w3.org/2001/XMLSchema#float,data,364,376,390,1,2,1.133333333333333333333333
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/authority-code,http://www.w3.org/2001/XMLSchema#string,data,1579,1579,1579,1,1,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/deprecated,http://www.w3.org/2001/XMLSchema#string,data,1579,2,1579,1,1,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/end.use,http://www.w3.org/2001/XMLSchema#string,data,5,3,5,1,1,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/op-code,http://www.w3.org/2001/XMLSchema#string,data,1580,1580,1580,1,1,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/op-mapped-code,http://publications.europa.eu/ontology/authority/MappedCode,object,517,655,655,1,4,1.583206106870229007633588
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/start.use,http://www.w3.org/2001/XMLSchema#string,data,1579,6,1579,1,1,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/resource/authority/op-code,http://www.w3.org/2001/XMLSchema#string,data,1580,1580,1580,1,1,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/elements/1.1/identifier,http://www.w3.org/2001/XMLSchema#string,data,1580,1580,1580,1,1,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept,object,1580,1,1580,1,1,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2002/07/owl#sameAs,http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,object,366,364,366,1,1,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#hiddenLabel,http://www.w3.org/2001/XMLSchema#string,data,1,1,1,1,1,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,object,1580,1,1580,1,1,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,data,1580,24556,24861,1,29,19.938980732874783797916415
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://publications.europa.eu/ontology/authority/prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,data,1,1,1,1,1,1.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://publications.europa.eu/ontology/authority/table.id,http://www.w3.org/2001/XMLSchema#string,data,1,1,1,1,1,1.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://publications.europa.eu/ontology/authority/table.version.number,http://www.w3.org/2001/XMLSchema#string,data,1,1,1,1,1,1.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#ConceptScheme,object,1,1,1,1,1,1.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,data,1,1,1,1,1,1.0
